rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,species_ID,weight_g,volume_mL,SA_cm2,species,full_species
0.96,29.79,-12.15,46.22,0.04,0.41,1.05,16.43,58.37,8,-0.37,GrossPhoto,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
1.01,28.86,0.17,42.26,0.82,0.72,2.88,13.41,42.09,7.5,0.1,NetPhoto,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
0.88,29.49,-15.97,40.03,0.33,0.98,1.53,10.54,55.99,8.11,-0.65,NetPhoto,C01,C01_TPC,C,1,462,23.69761104,Fcom,Favites complanata
0.89,29.2,-6.19,41.61,0.42,0.92,1.72,12.41,47.8,7.98,-0.5,NetPhoto,F01,F01_TPC,F,1,464,14.38535037,Prug,Pachyseris rugosa
0.72,29.15,-12.59,43.43,0.36,0.7,1.6,14.28,56.02,8.46,-0.33,NetPhoto,E01,E01_TPC,E,1,460,33.93822657,Peyd,Pocillopora eydouxi
0.78,28.98,-3.72,42.12,0.47,0.72,1.83,13.14,45.84,7.83,-0.26,NetPhoto,J01,J01_TPC,J,1,465,16.22929921,Ahya,Acropora hyacinthus
0.55,28.57,-3.14,41.88,0.68,0.77,2.39,13.3,45.01,7.39,-0.1,NetPhoto,I01,I01_TPC,I,1,468,26.20193602,Tfro,Turbinaria frondens
0.81,29.76,-16.59,39.32,0.32,1.12,1.5,9.56,55.91,8.19,-0.8,NetPhoto,B01,B01_TPC,B,1,462,19.26639142,Mvie,Montipora vietnamensis
0.42,27.4,-Inf,39.04,0.31,0.61,1.49,11.65,Inf,7.58,-0.3,NetPhoto,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
0.88,27.59,-Inf,41.54,0.01,0.55,NA,13.94,Inf,7.82,-0.54,NetPhoto,D01,D01_TPC,D,1,460,28.54674986,Prus,Porites rus
1.06,28.12,-19.27,43.61,0.35,0.65,1.56,15.49,62.88,7.82,-0.31,NetPhoto,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
0.81,27.53,-Inf,43.36,-0.27,0.5,NA,15.82,Inf,7.98,-0.77,NetPhoto,E02,E02_TPC,E,1,457,34.41995023,Peyd,Pocillopora eydouxi
0.92,29.04,-21.87,38.45,0.25,1.37,1.38,9.41,60.32,7.52,-1.12,NetPhoto,F04,F04_TPC,F,1,463,22.44704366,Prug,Pachyseris rugosa
0.89,26.94,-Inf,40.63,NA,0.61,NA,13.7,Inf,7.12,NA,NetPhoto,D02,D02_TPC,D,1,464,18.28699298,Prus,Porites rus
0.73,26.62,-Inf,59.48,NA,0.44,NA,32.86,Inf,9.5,NA,NetPhoto,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
0.7,29.34,-14.86,48.04,0.34,0.35,1.56,18.7,62.91,9.5,-0.01,NetPhoto,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
1,29.22,-9.28,42.45,0.33,0.74,1.53,13.23,51.73,8.23,-0.4,NetPhoto,C02,C02_TPC,C,1,460,24.72805304,Fcom,Favites complanata
0.7,27.48,-12.55,40.05,1.08,0.98,4.06,12.57,52.6,6.41,0.1,NetPhoto,J02,J02_TPC,J,1,464,20.79769841,Ahya,Acropora hyacinthus
0.71,28.88,-4.82,41.79,0.57,0.82,2.09,12.91,46.61,7.71,-0.25,NetPhoto,B02,B02_TPC,B,1,464,18.64110773,Mvie,Montipora vietnamensis
0.53,28.18,-20.17,41.87,0.32,0.81,1.52,13.69,62.04,7.54,-0.48,NetPhoto,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
0.72,28.69,-21.16,43.02,0.04,0.78,1.05,14.33,64.18,8.21,-0.74,NetPhoto,E03,E03_TPC,E,1,457,37.62293403,Peyd,Pocillopora eydouxi
0.49,28.97,-6.85,41.68,0.43,0.8,1.73,12.71,48.53,7.83,-0.37,NetPhoto,I03,I03_TPC,I,1,459,30.56935118,Tfro,Turbinaria frondens
0.89,27.02,-Inf,45.44,-0.13,0.36,NA,18.42,Inf,8.04,-0.49,NetPhoto,A03,A03_TPC,A,1,461,19.11326072,Pcyl,Porites cylindrica
0.66,29,-4.83,43.31,0.49,0.71,1.88,14.31,48.14,8.09,-0.22,NetPhoto,H04,H04_TPC,H,1,458,41.64580512,Maeq,Montipora aequituberculata
1.11,29.2,-1.83,46.94,0.47,0.52,1.85,17.74,48.77,8.73,-0.05,NetPhoto,F03,F03_TPC,F,1,463,17.6489484,Prug,Pachyseris rugosa
0.91,28.98,-5.89,39.91,0.59,0.89,2.15,10.93,45.8,7.47,-0.3,NetPhoto,J03,J03_TPC,J,1,461,29.80688791,Ahya,Acropora hyacinthus
0.71,29.4,-14.46,37.96,0.4,1.41,1.67,8.57,52.42,7.54,-1.01,NetPhoto,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
1.53,30.26,-5.18,39.61,0.46,1.23,1.79,9.35,44.78,7.05,-0.77,NetPhoto,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
1.31,29.25,3.38,42.42,0.65,0.81,2.31,13.17,39.05,7.03,-0.16,NetPhoto,G05,G05_TPC,G,1,465,17.26931188,Elam,Echinopora lamellosa
0.73,28.49,-Inf,46.4,0.53,0.35,1.97,17.91,Inf,8.85,0.18,NetPhoto,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
0.94,30.52,-24.14,37.11,0.31,1.68,1.48,6.59,61.25,8.11,-1.37,NetPhoto,B07,B07_TPC,B,1,468,13.30067458,Mvie,Montipora vietnamensis
1.15,30.04,-Inf,38.71,0.19,0.97,1.28,8.68,Inf,8.49,-0.78,NetPhoto,A07,A07_TPC,A,1,462,13.81749069,Pcyl,Porites cylindrica
1.1,29.29,-6.61,42.57,0.37,0.75,1.6,13.29,49.19,8.24,-0.38,NetPhoto,E07,E07_TPC,E,1,462,18.03177515,Peyd,Pocillopora eydouxi
0.93,29.44,-3.35,39.62,0.48,1.19,1.86,10.18,42.97,7,-0.71,NetPhoto,J07,J07_TPC,J,1,465,16.49727793,Ahya,Acropora hyacinthus
1.41,30.5,-Inf,37.93,0.28,1.08,1.42,7.43,Inf,8.58,-0.81,NetPhoto,C07,C07_TPC,C,1,463,12.85404337,Fcom,Favites complanata
1.28,29.58,-Inf,37.99,0.21,1.25,NA,8.41,Inf,7.99,-1.04,NetPhoto,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
1.05,29.34,-20.14,43.57,0.15,0.64,1.22,14.23,63.71,8.83,-0.49,NetPhoto,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
0.79,29.21,-22.28,41.6,0.21,0.79,1.3,12.39,63.87,8.36,-0.59,NetPhoto,I07,I07_TPC,I,1,466,10.84739316,Tfro,Turbinaria frondens
0.82,28.94,-13.89,42.41,0.32,0.63,1.52,13.47,56.3,8.13,-0.3,NetPhoto,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
0.72,28.18,-Inf,46.55,0.09,0.38,1.12,18.37,Inf,8.74,-0.29,NetPhoto,H07,H07_TPC,H,1,468,19.99695246,Maeq,Montipora aequituberculata
0.45,28.71,-10.27,43.61,0.59,0.5,2.14,14.91,53.88,8.05,0.09,NetPhoto,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
0.95,29.47,-Inf,39.42,0.2,0.67,1.3,9.95,Inf,8.33,-0.47,NetPhoto,E08,E08_TPC,E,1,461,30.03020351,Peyd,Pocillopora eydouxi
1.52,29.75,-12.74,45.85,0.14,0.37,NA,16.1,58.59,9.41,-0.23,NetPhoto,D04,D04_TPC,D,1,460,15.43174348,Prus,Porites rus
0.82,29.7,-1.37,44.47,0.41,0.67,1.68,14.77,45.84,8.18,-0.26,NetPhoto,J08,J08_TPC,J,1,464,15.59444485,Ahya,Acropora hyacinthus
0.94,28.91,-4.01,39.61,0.14,0.21,1.2,10.71,43.62,7.24,-0.07,NetPhoto,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
1.35,28.79,-22.14,47.58,0.39,0.26,1.65,18.79,69.72,9.21,0.12,NetPhoto,I08,I08_TPC,I,1,465,7.194587934,Tfro,Turbinaria frondens
1,29.23,0.91,42.91,0.54,0.79,1.99,13.68,42,7.5,-0.26,NetPhoto,G08,G08_TPC,G,1,461,22.74054416,Elam,Echinopora lamellosa
1.18,29.91,-10.92,46.14,-0.05,0.26,NA,16.23,57.06,8,-0.31,NetPhoto,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
0.68,29.88,-16.65,41.66,0.21,0.52,1.31,11.79,58.31,7.29,-0.31,NetPhoto,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
0.85,29.07,-1.28,41.14,-0.26,0.8,NA,12.07,42.42,5,-1.06,NetPhoto,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
